url,n_stars,created_at,updated_at,pushed_at,is_fork,archived_at,is_template,license,primary_language,topics,description
intel/intel-cmt-cat,609,2014-12-17T16:58:08Z,2023-07-02T13:30:29Z,2023-05-29T09:59:28Z,False,,False,Other,C,"['rdt', 'cmt', 'cat', 'mbm', 'mba', 'cache', 'llc', 'c', 'snmp', 'perl', 'swig', 'pqos', 'rdtset']",User space software for Intel(R) Resource Director Technology
intel/intel-hybrid-driver,36,2014-08-27T17:02:48Z,2023-05-20T04:58:34Z,2022-08-04T22:58:01Z,False,2022-08-05T05:58:02Z,False,Other,C++,[],
intel/libyami,147,2014-04-01T06:44:19Z,2023-02-18T10:45:07Z,2022-10-24T05:01:32Z,False,,False,Apache License 2.0,C++,"['video', 'video-processing']","Yet Another Media Infrastructure. it is core part of media codec with hardware acceleration, it is yummy to your video experience on Linux like platform."
cornelisnetworks/opa-psm2,31,2015-07-06T15:45:22Z,2023-03-28T15:57:55Z,2023-05-03T17:27:52Z,False,,False,Other,C,[],
intel/libipt,588,2013-09-11T14:04:58Z,2023-06-27T04:27:10Z,2023-06-29T12:35:26Z,False,,False,Other,C,[],libipt - an Intel(R) Processor Trace decoder library
intel/psm,14,2012-06-28T22:31:30Z,2023-01-27T22:31:30Z,2022-08-04T23:01:59Z,False,2022-08-05T06:01:59Z,False,Other,C,[],
0k/shyaml,750,2013-02-27T10:40:07Z,2023-06-28T00:56:30Z,2023-04-16T06:57:05Z,False,,False,"BSD 2-Clause ""Simplified"" License",Python,"['yaml', 'shell', 'command-line', 'tool']",YAML for command line
13-CF/afetch,206,2020-09-27T11:24:46Z,2023-06-23T18:14:42Z,2023-03-05T17:01:02Z,False,,False,GNU General Public License v3.0,C,[],Simple system info written in C
2Fake/devolo_home_control_api,10,2020-01-08T09:12:13Z,2023-06-23T20:22:26Z,2023-05-19T10:56:23Z,False,,False,GNU General Public License v3.0,Python,"['devolo', 'home-automation', 'home-control', 'iot', 'python', 'zwave']",devolo Home Control in Python
3th1nk/cidr,77,2019-07-18T08:42:13Z,2023-05-31T07:28:39Z,2022-12-15T11:57:13Z,False,,False,MIT License,Go,"['cidr', 'ipv4', 'ipv6']",golang to calculate CIDR network
